1GUD_A, P39265
1I56_A, P81708
1IJA-15_A, Q9S446
1JFJ-3_A, P38505
1K2H-4_A, P35467
1LMZ-9_A, P05100
1MUT-11_A, P08337
1NJG_B, P06710
1SKT-10_A, P02588
1SYM-2_B, P04631
1W4U-9_A, P62837
1Y3Q_A, Q9KWT6
1YL5_B, A5U6C6
1ZA1_A, P0A786
2F63-4_A, P26281
2JWW-13_A, P02625
2KAX-5_A, P33763
2L50-24_A, Q96FQ6
2LHS-6_A, P9WEM3
2NLN-4_A, P02631
